2026-03-03T21:20:10Z INFO bsky_collector_v2: out_base ok path=D:\BlueSky\data_v2_full mount=D:\
2026-03-03T21:20:10Z INFO bsky_collector_v2: job start subcommand=index-feed-generators dry_run=False resume=True
2026-03-03T21:56:22Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:pj7nsk53ynyrlxru5kplvgqk err=HttpError('InternalServerError: Internal Server Error')
2026-03-03T21:56:55Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:tnjmzvkgwwsark5w65r64d52 err=HttpError('InternalServerError: Internal Server Error')
2026-03-03T21:56:55Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:2fvltsxemha4zx5gqyeg7sxx err=HttpError('InvalidRequest: Could not find repo: did:plc:2fvltsxemha4zx5gqyeg7sxx')
2026-03-03T21:57:28Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:2qrhtiee6w5f7vakcxbrn3tg err=HttpError('InternalServerError: Internal Server Error')
2026-03-03T21:58:00Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:44wyxnuclhblfwhzqgcwv4io err=HttpError('InternalServerError: Internal Server Error')
2026-03-03T21:58:33Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:7x4u45wuo7xuv34m5yngktg2 err=HttpError('InternalServerError: Internal Server Error')
2026-03-03T21:59:06Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:bzsjzug7c7diihxrz353kgrd err=HttpError('InternalServerError: Internal Server Error')
2026-03-03T21:59:39Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:c4tlmq2t2i52wd5asd3c7b2v err=HttpError('InternalServerError: Internal Server Error')
2026-03-03T22:00:12Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:c7da673oa44bakfvmmaqhwmi err=HttpError('InternalServerError: Internal Server Error')
2026-03-03T22:00:45Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:fm4oaxjootjy4tn7lggab6ju err=HttpError('InternalServerError: Internal Server Error')
2026-03-03T22:01:17Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:fts6n7s2uwi7bfsuvny7mks2 err=HttpError('InternalServerError: Internal Server Error')
2026-03-03T22:01:18Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:iiyf2ri7soge4ucrjkxs6trb err=HttpError('InvalidRequest: Could not find repo: did:plc:iiyf2ri7soge4ucrjkxs6trb')
2026-03-03T22:01:50Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:imoqkg25v5wr7bjd5yfqkwwu err=HttpError('InternalServerError: Internal Server Error')
2026-03-03T22:02:23Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:mznsl5ggt77smlhaodt3sizp err=HttpError('InternalServerError: Internal Server Error')
2026-03-03T22:02:56Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:ogxyrjw55oiph7cubqr3vmwu err=HttpError('InternalServerError: Internal Server Error')
2026-03-03T22:03:28Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:pj7nsk53ynyrlxru5kplvgqk err=HttpError('InternalServerError: Internal Server Error')
2026-03-03T22:04:01Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:tnjmzvkgwwsark5w65r64d52 err=HttpError('InternalServerError: Internal Server Error')
2026-03-03T22:04:02Z INFO bsky_collector_v2.job.index_feed_generators: enqueued repos page=2 mode=listRepos inserted=500 repos_returned=500 next_cursor=set
2026-03-03T22:04:37Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:2fm6bmlu6edixaj7e4bwfgq3 err=HttpError('InternalServerError: Internal Server Error')
2026-03-03T22:05:12Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:2vibasetg6q6guz4oxz4pnmj err=HttpError('InternalServerError: Internal Server Error')
2026-03-03T22:05:46Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:32sklziuopd7aiq62onwencq err=HttpError('InternalServerError: Internal Server Error')
