context_id,scheduled_window_start_utc,scheduled_window_end_utc,viewer_mode,vantage_id,feed_uri,bucket,cluster_text,riskset_size,context_total_y,shown_count,zero_exposure_count,gap_equal,gap_timing_residual
1966,2026-03-29T23:30:00Z,2026-03-29T23:40:00Z,unauth,unauth,at://did:plc:4ohogodxdernofx3m6lhcd2a/app.bsky.feed.generator/aaanejfp2tgzs,popular_by_likecount,'hilfsmittel' #fotovorschlag,5,0.24465054211822604,1,4,0.8,0.9444984498208782
80,2026-03-19T13:40:00Z,2026-03-19T13:50:00Z,unauth,unauth,at://did:plc:lyrmsmhhg7vzz4ghj44y5xzq/app.bsky.feed.generator/fa92779cd55e,longtail_random,"rumours that more military assistance earmarked to #ukraine in the last us defence budget, will now divert to the middle east. what next for the little criminal in #kiev?",2,0.21274605355336318,1,1,0.5,0.942255451260979
181,2026-03-20T06:20:00Z,2026-03-20T06:30:00Z,unauth,unauth,at://did:plc:dkh643asru53huyrgpjmobgl/app.bsky.feed.generator/aaacg5ovpq3w6,popular_by_likecount,wip,2,0.27023815442731974,1,1,0.5,0.9390226525354803
1145,2026-03-23T11:20:00Z,2026-03-23T11:30:00Z,auth,auth,at://did:plc:sedh7uwyebi77rjdj6rpmhoq/app.bsky.feed.generator/aaape3jm3b5gi,longtail_random,lmao,3,0.6309297535714575,1,2,0.6666666666666666,0.9161373007978796
698,2026-03-22T02:00:00Z,2026-03-22T02:10:00Z,unauth,unauth,at://did:plc:yw5jldlnuker4mb7ttyqephb/app.bsky.feed.generator/aaabgn53jpxru,popular_by_likecount,www.theguardian.com/world/2026/m...,5,0.21810429198553155,1,4,0.7999999999999999,0.9152206326674909
937,2026-03-22T18:10:00Z,2026-03-22T18:20:00Z,unauth,unauth,at://did:plc:4ohogodxdernofx3m6lhcd2a/app.bsky.feed.generator/aaanejfp2tgzs,popular_by_likecount,'zahlen: drei' #fotovorschlag,23,0.1810425967800402,1,22,0.9565217391304347,0.9137623468467783
933,2026-03-22T18:00:00Z,2026-03-22T18:10:00Z,unauth,unauth,at://did:plc:4ohogodxdernofx3m6lhcd2a/app.bsky.feed.generator/aaanejfp2tgzs,popular_by_likecount,'zahlen: drei' #fotovorschlag,23,0.18316925091363362,1,22,0.9565217391304347,0.9047652461109797
692,2026-03-22T01:40:00Z,2026-03-22T01:50:00Z,auth,auth,at://did:plc:yw5jldlnuker4mb7ttyqephb/app.bsky.feed.generator/aaabgn53jpxru,popular_by_likecount,www.theguardian.com/world/2026/m...,5,0.22106472945750374,1,4,0.7999999999999999,0.904707445895806
1416,2026-03-24T18:40:00Z,2026-03-24T18:50:00Z,unauth,unauth,at://did:plc:tpsmmglg2coilcnma7cuhk54/app.bsky.feed.generator/aaag7pqa723cq,longtail_random,bsky.app/profile/did:...,3,0.17905223175104137,1,2,0.6666666666666666,0.8995656627029365
687,2026-03-22T01:30:00Z,2026-03-22T01:40:00Z,auth,auth,at://did:plc:yw5jldlnuker4mb7ttyqephb/app.bsky.feed.generator/aaabgn53jpxru,popular_by_likecount,www.theguardian.com/world/2026/m...,5,0.227670248696953,1,4,0.7999999999999999,0.898709102556467
