run_id,vantage_id,did,resolved_pds_host,resolution_method,did_doc_url,service_endpoint,error,captured_at_utc
fa14dd6c4e7c4eb7b14198248b2561eb,unauth,did:plc:2o75sknopij4cxt5jhg3t46c,https://morel.us-east.host.bsky.network,plc_directory,https://plc.directory/did:plc:2o75sknopij4cxt5jhg3t46c,https://morel.us-east.host.bsky.network,,2026-04-03T08:26:22Z
fa14dd6c4e7c4eb7b14198248b2561eb,unauth,did:plc:2peqkpgiu446bcxsk6zhgyyb,https://morel.us-east.host.bsky.network,plc_directory,https://plc.directory/did:plc:2peqkpgiu446bcxsk6zhgyyb,https://morel.us-east.host.bsky.network,,2026-04-03T08:26:22Z
fa14dd6c4e7c4eb7b14198248b2561eb,unauth,did:plc:2pg7rfl24ufteqysij4x7qnt,https://morel.us-east.host.bsky.network,plc_directory,https://plc.directory/did:plc:2pg7rfl24ufteqysij4x7qnt,https://morel.us-east.host.bsky.network,,2026-04-03T08:26:23Z
fa14dd6c4e7c4eb7b14198248b2561eb,unauth,did:plc:2psr75aywbo4zwx5ybdoxnnd,https://jellybaby.us-east.host.bsky.network,plc_directory,https://plc.directory/did:plc:2psr75aywbo4zwx5ybdoxnnd,https://jellybaby.us-east.host.bsky.network,,2026-04-03T08:26:23Z
fa14dd6c4e7c4eb7b14198248b2561eb,unauth,did:plc:2ptxmpxhobt27ag2x6ksr5pn,https://fibercap.us-west.host.bsky.network,plc_directory,https://plc.directory/did:plc:2ptxmpxhobt27ag2x6ksr5pn,https://fibercap.us-west.host.bsky.network,,2026-04-03T08:26:23Z
fa14dd6c4e7c4eb7b14198248b2561eb,unauth,did:plc:2qsyy77e6pjl3pg4ywpkzjsn,https://morel.us-east.host.bsky.network,plc_directory,https://plc.directory/did:plc:2qsyy77e6pjl3pg4ywpkzjsn,https://morel.us-east.host.bsky.network,,2026-04-03T08:26:24Z
fa14dd6c4e7c4eb7b14198248b2561eb,unauth,did:plc:2rg6cywuipcq5xtkaj76pkef,https://stinkhorn.us-west.host.bsky.network,plc_directory,https://plc.directory/did:plc:2rg6cywuipcq5xtkaj76pkef,https://stinkhorn.us-west.host.bsky.network,,2026-04-03T08:26:24Z
fa14dd6c4e7c4eb7b14198248b2561eb,unauth,did:plc:2rwodl3act6ty2ozzmusstmr,https://morel.us-east.host.bsky.network,plc_directory,https://plc.directory/did:plc:2rwodl3act6ty2ozzmusstmr,https://morel.us-east.host.bsky.network,,2026-04-03T08:26:25Z
fa14dd6c4e7c4eb7b14198248b2561eb,unauth,did:plc:2s3uilffsnvm3cg2flvj7etu,https://magic.us-west.host.bsky.network,plc_directory,https://plc.directory/did:plc:2s3uilffsnvm3cg2flvj7etu,https://magic.us-west.host.bsky.network,,2026-04-03T08:26:25Z
fa14dd6c4e7c4eb7b14198248b2561eb,unauth,did:plc:2sb762lmhdu3uwvauzteif6k,https://auriporia.us-west.host.bsky.network,plc_directory,https://plc.directory/did:plc:2sb762lmhdu3uwvauzteif6k,https://auriporia.us-west.host.bsky.network,,2026-04-03T08:26:26Z
